10.98,32.44
14.30,48.60
12.06,40.58
10.90,31.09
8.47,32.87
12.92,47.45
8.75,32.79
17.84,55.98
19.27,57.60
7.67,29.17
15.83,49.28
10.58,38.41
11.36,37.70
18.51,61.46
1.42,8.33
1.74,10.34
0.40,4.23
16.65,58.31
15.56,50.06
17.40,56.41
19.57,67.36
15.98,46.90
9.23,26.88
15.61,52.74
2.37,6.59
12.80,47.23
2.87,10.37
18.89,57.43
10.44,40.09
8.29,32.31
5.29,24.47
15.48,52.16
9.12,27.78
11.37,42.84
0.38,3.34
12.35,42.46
12.24,42.56
12.34,39.55
18.87,61.45
13.64,46.69
7.19,25.70
8.74,25.92
13.95,45.74
1.20,10.58
13.34,40.94
13.41,42.78
4.21,14.32
2.58,16.29
6.31,23.95
7.27,26.03
11.40,34.89
8.77,30.93
19.77,60.29
2.04,9.22
4.18,13.63
3.23,14.72
13.06,43.91
5.07,17.59
9.33,32.18
4.89,14.39
3.18,8.07
2.21,10.95
13.13,42.89
2.76,13.19
3.93,21.94
7.37,27.94
16.42,49.52
1.94,12.17
16.76,49.33
1.92,7.38
19.53,61.39
9.37,36.25
19.54,59.39
12.10,36.82
14.79,47.07
0.78,3.35
5.66,23.36
2.40,6.96
5.92,17.32
2.37,8.80
6.36,20.59
8.29,33.66
1.28,9.69
13.85,44.81
11.33,33.31
5.31,21.46
10.46,31.38
1.88,4.01
11.52,41.12
18.59,59.72
6.37,24.87
13.35,44.01
2.64,13.49
14.33,44.04
5.79,17.27
3.66,16.02
11.73,35.78
0.40,2.13
16.58,51.37
0.09,3.32
